Seq		Group	Sub Group	Doc	AGK	Codey	Tab Name	Tab Nbr	Ret Value	Man Ret Value	Open	Close	Show	Special	SpecCol1	SpecCol2	Help
288	Command	Core	Strings	FindStringReverse( str, str, ignoreCase, start )	S:findstringreverse(,T:3,S:,,T:1,S:,,B:7,S:,,N:5,S:)	S:find rev ,T:,S: in ,T:,S: start at ,N:1,S: case ,B:	Common	1	1	1							
289	Command	Core	Strings	GetStringToken( str, str, str )			Common	1	1								
290	Command	Core	Strings	GetStringToken2( str, str, str )	S:getstringtokens2(,T:3,S:,,T:5,S:,,N:1,S:)	S:token ,N:,S: in ,T:,S: split by ,T:	Common	1	3	3							
291	Command	Core	Strings	Hex( i )	S:hex(,N:1,S:)	S:to hex ,N:	Common	1	3	3							
292	Command	Core	Strings	HexToBase64( input )			Common	1	1	1							
293	Command	Core	Strings	Left( strin, count )	S:left(,T:3,S:,,N:1,S:)	S:left ,N:,S: of ,T:	Common	1	3	3							
294	Command	Core	Strings	Len( strin )	S:len(,T:1,S:)	S:len ,T:	Common	1	1	1							
295	Command	Core	Strings	Lower( strin )	S:lower(,T:1,S:)	S:lower ,T:	Common	1	3	3							
296	Command	Core	Strings	Mid( strin, position, length )	S:mid(,T:5,S:,,N:1,S:,,N:3,S:)	S:mid at ,N:,S: for ,N:,S: in ,T:	Common	1	1	1							
297	Command	Core	Strings	ReplaceString( str, str, str, a )	S:replacestring(,T:5,S:,,T:1,S:,,T:3,S:,,N:7,S:)	S:replace ,T:,S: with ,T:,S: in ,T:,S: count ,N:	Common	1	3	3							
298	Command	Core	Strings	Right( strin, count )	S:right(,T:3,S:,,N:1,S:)	S:right ,N:,S: of ,T:	Common	1	3	3							
299	Command	Core	Strings	Spaces( length )			Common	1	1	1							
300	Command	Core	Strings	Str( valueFloat )	S:_agkBoolToStr(,B:1,S:)	S:bool ,B:	Common	1	3	3							
301	Command	Core	Strings	StringToBase64( input )			Common	1	1	1							
302	Command	Core	Strings	StripString( str, chars )	S:stripstring(,T:3,S:,,T:1,S:)	S:strip ,T:,S: from ,T:	Common	1	3	3							
303	Command	Core	Strings	TrimString( str, chars )	S:trimstring(,T:3,S:,,T:1,S:)	S:trim ,T:,S: from ,T:	Common	1	3	3							
304	Command	Core	Strings	TruncateString( str, character )			Common	1	1	1							
305	Command	Core	Strings	Upper( strin )	S:upper(,T:1,S:)	S:upper ,T:	Common	1	3	3							
306	Command	Core	Strings	Val( str )	T:1,S:+,T:3	S:concat ,T:,S:  ,T:	Common	1	3	3							
307	Command	Sprites		AddSpriteAnimationFrame( iSpriteIndex, iImageIndex )			2D	2	0								
308	Command	Sprites		AddSpriteShapeBox( iSpriteIndex, x, y, x2, y2, angle )			2D	2	0								
309	Command	Sprites		AddSpriteShapeChain( iSpriteIndex, numPoints, index, loop, x, y )			2D	2	0								
310	Command	Sprites		AddSpriteShapeCircle( iSpriteIndex, x, y, radius )			2D	2	0								
311	Command	Sprites		AddSpriteShapePolygon( iSpriteIndex, numPoints, index, x, y )			2D	2	0								
312	Command	Sprites		CalculateSpritePhysicsCOM( iSpriteIndex )			2D	2	0								
313	Command	Sprites		ClearSpriteAnimationFrames( iSpriteIndex )			2D	2	0								
314	Command	Sprites		ClearSpriteShapes( iSpriteIndex )			2D	2	0								
319	Command	Sprites					2D	2	0								
320	Command	Sprites					2D	2	0								
315	Command	Sprites		CloneSprite( iSpriteIndex, iOtherSprite )	S:_agkCloneSprite(idx,S:,,T:1,S:)	S:create clone with name ,T:	2D	2	0								Clones the sprite and gives it a name for later setting.
316	Command	Sprites		CreateDummySprite( iSpriteIndex )	S:_agkIsClone(idx)	S:is clone	2D	2	2	2							Returns true if executing code for a clone.
317	Command	Sprites		CreateSprite( iImageIndex )	S:idx = _agkSetClone(_h.entryIdx,S:,,S:idx,S:,,T:1,S:)	S:set active clone to ,T:	2D	2	0								Set the active clone to name, all cmds will affect that clone.
318	Command	Sprites			S:_agkGetClone(idx)	S:active clone	2D	2	3	3							Returns the name of the clone set with "set active clone name".
321	Command	Sprites		DeleteSprite( iSpriteIndex )	S:_agkDeleteClone(idx)	S:delete clone	2D	2	0								Deletes the active clone.
322	Command	Sprites		DrawSprite( iSpriteIndex )	S:_agkChangeCloneName(idx,S:,,T:1,S:)	S:change clone name to ,T:	2D	2	0								
323	Command	Sprites		FixSpriteToScreen( iSpriteIndex, mode )			2D	2	0								
324	Command	Sprites		GetPhysicsCollision( iSprite1, iSprite2 )			2D	2	1								
325	Command	Sprites		GetPhysicsCollisionWorldX( )			2D	2	1								
326	Command	Sprites		GetPhysicsCollisionWorldY( )			2D	2	1								
327	Command	Sprites		GetPhysicsCollisionX( )			2D	2	1								
328	Command	Sprites		GetPhysicsCollisionY( )			2D	2	1								
329	Command	Sprites		GetSpriteActive( iSpriteIndex )			2D	2	1								
330	Command	Sprites					2D	2	0								
331	Command	Sprites		GetSpriteAngleRad( iSpriteIndex )			2D	2	1								
332	Command	Sprites		GetSpriteAngleRad( iSpriteIndex )			2D	2	1								
333	Command	Sprites		GetSpriteColorAlpha( iSpriteIndex )			2D	2	1								
334	Command	Sprites		GetSpriteColorBlue( iSpriteIndex )			2D	2	1								
335	Command	Sprites		GetSpriteColorGreen( iSpriteIndex )			2D	2	1								
336	Command	Sprites		GetSpriteColorRed( iSpriteIndex )			2D	2	1								
337	Command	Sprites		GetSpriteCurrentFrame( iSpriteIndex )			2D	2	1								
338	Command	Sprites		GetSpriteNumShapes( iSpriteIndex )			2D	2	1								
339	Command	Sprites		GetSpriteOffsetX( iSpriteIndex )			2D	2	1								
340	Command	Sprites		GetSpriteOffsetY( iSpriteIndex )			2D	2	1								
341	Command	Sprites		GetSpritePhysicsAngularVelocity( iSpriteIndex )			2D	2	1								
342	Command	Sprites		GetSpritePhysicsCOMX( iSpriteIndex )			2D	2	1								
343	Command	Sprites		GetSpritePhysicsCOMY( iSpriteIndex )			2D	2	1								
344	Command	Sprites		GetSpritePhysicsMass( iSpriteIndex )			2D	2	1								
345	Command	Sprites		GetSpritePhysicsVelocityX( iSpriteIndex )			2D	2	1								
346	Command	Sprites		GetSpritePhysicsVelocityY( iSpriteIndex )			2D	2	1								
347	Command	Sprites		GetSpritePixelFromX( iSpriteIndex, x )			2D	2	1								
348	Command	Sprites		GetSpritePixelFromY( iSpriteIndex, y )			2D	2	1								
349	Command	Sprites		GetSpritePlaying( iSpriteIndex )			2D	2	1								
350	Command	Sprites		GetSpriteShapeNumVertices( iSpriteIndex, shapeID )			2D	2	1								
351	Command	Sprites		GetSpriteShapeVertexX( iSpriteIndex, shapeID, vertex )			2D	2	1								
352	Command	Sprites		GetSpriteShapeVertexY( iSpriteIndex, shapeID, vertex )			2D	2	1								
353	Command	Sprites		GetSpriteTransparency( iSpriteIndex )			2D	2	1								
354	Command	Sprites		SetSpriteVisible( iSpriteIndex, bVisible )	S:setspritevisible(__sprs[idx].spr,S:,,S:true)	S:show	2D	2	0								
355	Command	Sprites		SetSpriteVisible( iSpriteIndex, bVisible )	S:setspritevisible(__sprs[idx].spr,S:,,S:false)	S:hide	2D	2	0								
356	Command	Sprites		GetSpriteVisible( iSpriteIndex )	S:getspritevisible(__sprs[idx].spr)	S:is visible	2D	2	1								
357	Command	Sprites					2D	2	1								
358	Command	Sprites	Properties	SetSpritePositionByOffset( iSpriteIndex, fX, fY )	S:setspritepositionbyoffset(__sprs[idx].spr,S:,,F:1,S:,,F:3,S:)	S:set pos to x ,F:0,S: y ,F:0	2D	2	0								
359	Command	Sprites		GetSpriteXByOffset( iSpriteIndex )	S:getspritexbyoffset(__sprs[idx].spr)	S:x pos	2D	2	1								
360	Command	Sprites		GetSpriteXFromPixel( iSpriteIndex, x )	S:getspriteybyoffset(__sprs[idx].spr)	S:y pos	2D	2	1								
363	Command	Sprites		GetSpriteWidth( iSpriteIndex )	S:getspritewidth(__sprs[idx].spr)	S:width	2D	2	1	1							
364	Command	Sprites	Properties	GetSpriteHeight( iSpriteIndex )	S:getspriteheight(__sprs[idx].spr)	S:height	2D	2	1	1							
361	Command	Sprites			X:0:F,S::,X:1:F,S::,X:0,S: = getspritexbyoffset(__sprs[idx].spr),S::,X:1,S: = getspriteybyoffset(__sprs[idx].spr),S::,S:setspritepositionbyoffset(__sprs[idx].spr,S:,,S:_agkDeltaAdd(,X:0,S:,,F:1,S:),S:,,S:_agkDeltaAdd(,X:1,S:,,F:3,S:))	S:change pos to x ,F:0,S: y ,F:0	2D	2	0								
362	Command	Sprites			S:_agkMoveSprite(idx,S:,,F:1,S:)	S:move forward by ,F:0	2D	2	0								
365	Command	Sprites		SetSpriteScale( iSpriteIndex, x, y )	S:setspritescalebyoffset(__sprs[idx].spr,S:,,F:1:F,S:,,F:3:F,S:)	S:set scale to x ,F:0,S: y ,F:0	2D	2	0								
366	Command	Sprites			S:_h.x = getspritescalex(__sprs[idx].spr),S::,S:_h.y = getspritescaley(__sprs[idx].spr),S::,S:setspritescale(__sprs[idx].spr,S:,,S:_agkDeltaAdd(_h.x,S:,,F:1,S:),S:,,S:_agkDeltaAdd(_h.y,S:,,F:3,S:))	S:change scale by x ,F:0,S: y ,F:0	2D	2	0								
367	Command	Sprites		GetSpriteScaleX( iSpriteIndex )	S:getspritescalex(__sprs[idx].spr)	S:x scale	2D	2	1								
368	Command	Sprites		GetSpriteScaleY( iSpriteIndex )	S:getspritescaley(__sprs[idx].spr)	S:y scale	2D	2	1								
369	Command	Sprites		SetSpriteAngle( iSpriteIndex, fAng )	S:setspriteangle(__sprs[idx].spr,S:,,F:1:F,S:)	S:set angle to ,F:	2D	2	0								
370	Command	Sprites		SetSpriteAngleRad( iSpriteIndex, fAng )	S:_h.x = getspriteangle(__sprs[idx].spr),S::,S:setspriteangle(__sprs[idx].spr,S:,,S:_h.x + ,F:1:F,S:)	S:change angle by ,F:	2D	2	0								
371	Command	Sprites		GetSpriteAngle( iSpriteIndex )	S:getspriteangle(__sprs[idx].spr)	S:angle	2D	2	1								
372	Command	Sprites		SetSpriteDepth( iSpriteIndex, iDepth )	S:setspritedepth(__sprs[idx].spr,S:,,N:1,S:)	S:set depth to ,N:	2D	2	0								
373	Command	Sprites		GetSpriteDepth( iSpriteIndex )	S:getspritedepth(__sprs[idx].spr)	S:depth	2D	2	1								
374	Command	Sprites		GetSpriteYFromPixel( iSpriteIndex, y )			2D	2	1								
375	Command	Sprites		GetSpriteYFromWorld( iSpriteIndex, x, y )			2D	2	1								
376	Command	Sprites		GetWorldXFromSprite( iSpriteIndex, x, y )			2D	2	1								
377	Command	Sprites		GetWorldYFromSprite( iSpriteIndex, x, y )			2D	2	1								
378	Command	Sprites		PlaySprite( iSpriteIndex )			2D	2	0								
379	Command	Sprites		ResetSpriteUV( iSpriteIndex )			2D	2	0								
380	Command	Sprites		ResumeSprite( iSpriteIndex )			2D	2	0								
381	Command	Sprites		SetSpriteActive( iSpriteIndex, bActive )			2D	2	0								
382	Command	Sprites		SetSpriteAdditionalImage( iSpriteIndex, iImageIndex, iStage )			2D	2	0								
383	Command	Sprites		SetSpriteImage( iSpriteIndex, iImageIndex, bUpdateShape )	S:_agkSetSpriteImage(idx,S:,,N:1,S:)	S:set image to ,N:1	2D	2	0								
384	Command	Sprites			S:_agkGetSpriteImage(idx)	S:image	2D	2	1	1							
385	Command	Sprites		SetSpriteAnimation( iSpriteIndex, iFrameWidth, iFrameHeight, iFrameCount )	S:_agkSetSpriteAnimation(idx,S:,,F:1,S:,,F:3,S:,,N:5,S:)	S:set animation to w ,F:,S: h ,F:,S: count ,N:	2D	2	0								
386	Command	Sprites		SetSpriteCategoryBit( iSpriteIndex, category, flag )			2D	2	0								
387	Command	Sprites		SetSpriteCategoryBits( iSpriteIndex, categories, shapeID )			2D	2	0								
388	Command	Sprites		SetSpriteCollideBit( iSpriteIndex, category, flag, shapeID )			2D	2	0								
389	Command	Sprites		SetSpriteCollideBits( iSpriteIndex, mask )			2D	2	0								
390	Command	Sprites		SetSpriteColor( iSpriteIndex, iRed, iGreen, iBlue, iAlpha )	S:cosetspritecolor(__sprs[idx].spr,S:,,N:1,S:)	S:set sprite color to ,C:	2D	2	0								
391	Command	Sprites		SetSpriteColor( iSpriteIndex, iRed, iGreen, iBlue, iAlpha )	S:cosetspritecolor(__sprs[idx].spr,S:,,N:1,S:)	S:set sprite color to ,N:	2D	2	0								
392	Command	Sprites		SetSpriteColorAlpha( iSpriteIndex, iAlpha )	S:_agkGetSpriteColor(idx)	S:sprite color	2D	2	1	1							
393	Command	Sprites		SetSpriteColorGreen( iSpriteIndex, iGreen )			2D	2	0								
394	Command	Sprites		SetSpriteColorRed( iSpriteIndex, iRed )			2D	2	0								
395	Command	Sprites					2D	2	0								
396	Command	Sprites		SetSpriteFrame( iSpriteIndex, iFrame )	S:_agkSetSpriteFrame(idx,S:,,N:1,S:)	S:set frame to ,N:1	2D	2	0								
397	Command	Sprites			S:_agkGetSpriteFrame(idx)	S:frame	2D	2	1	1							
398	Command	Sprites			S:setspritefliphoriz(__sprs[idx].spr,S:,,B:1,S:)	S:flip horiz ,B:	2D	2	0								
401	Command	Sprites			S:setspriteflipvert(__sprs[idx].spr,S:,,B:1,S:)	S:flip vert ,B:	2D	2	0								
399	Command	Sprites		GetSpriteFlippedH( iSpriteIndex )	S:getspritefilledh(__sprs[idx].spr,S:)	S:is flipped horiz	2D	2	2	2							
400	Command	Sprites		GetSpriteFlippedV( iSpriteIndex )	S:getspritefilledv(__sprs[idx].spr,S:)	S:is flipped vert	2D	2	2	2							
402	Command	Sprites		SetSpriteShape( iSpriteIndex, shape, shapeID )	S:setspriteshape(__sprs[idx].spr,S:,,N:1:J:shape,S:)	S:set hit shape to ,J:shape	2D	2	0								
403	Command	Sprites		SetSpriteScissor( iSpriteIndex, x, y, x2, y2 )	S:setspritescissors(__sprs[idx].spr,S:,,F:1,S:,,F:3,S:,,F:5,S:,,F:7,S:)	S:set scissors at x1 ,F:,S: y1 ,F:,S: x2 ,F:,S: y2 ,F:	2D	2	0								
404	Command	Sprites		SetSpriteShapeBox( iSpriteIndex, x, y, x2, y2, angle, shapeID )			2D	2	0								
405	Command	Sprites		SetSpriteShapeCircle( iSpriteIndex, x, y, radius )			2D	2	0								
406	Command	Sprites		SetSpriteShapePolygon( iSpriteIndex, numPoints, index, x, y )			2D	2	2	2							
407	Command	Sprites		GetSpriteCollision( iSprite1, iSprite2 )	S:_agkGetSpriteNameCollision(idx,S:,,T:1,S:)	S:has hit sprite ,T:	2D	2	2	2							
408	Command	Sprites			S:_agkGetCloneNameCollision(idx,S:,,T:1,S:,,T:3,S:)	S:has hit clone ,T:,S: of sprite ,T:	2D	2	2	2							
409	Command	Sprites		GetSpriteHitTest( iSpriteIndex, x, y )	S:getspritehittest(__sprs[idx].spr,S:,,F:,S:,,F:,S:)	S:is point x ,F:,S: y ,F:,S: in sprite	2D	2	2	2							
410	Command	Sprites		GetSpriteInBox( iSprite, x1, y1, x2, y2 )	S:getspriteinbox(__sprs[idx].spr,S:,,F:1,S:,,F:3,S:,,F:5,S:,,F:7,S:)	S:has hit box at x1 ,F:,S: y1 ,F:,S: x2 ,F:,S: y2 ,F:	2D	2	2	2							
411	Command	Sprites		GetSpriteInCircle( iSprite, x1, y1, radius )	S:getspriteincircle(__sprs[idx].spr,S:,,F:1,S:,,F:3,S:,,F:5,S:)	S:has hit circle at x ,F:,S: y ,F:,S: rad ,F:0	2D	2	2	2							
412	Command	Sprites		GetSpriteInScreen( iSpriteIndex )	S:getspriteinscreen(__sprs[idx].spr,S:)	S:in screen	2D	2	2	2							
413	Command	Sprites		GetSpriteDistance( iSprite1, iSprite2 )	S:_agkgetspritenamedistance(__sprs[idx].spr,S:,,T:1,S:)	S:distance to ,T:	2D	2	1	1							
414	Command	Sprites		GetSpriteDistancePoint1X( )	S:getdistancepoint1x()	S:distance x1	2D	2	1	1							
415	Command	Sprites		GetSpriteDistancePoint1Y( )	S:getdistancepoint1y()	S:distance y1	2D	2	1	1							
416	Command	Sprites		GetSpriteDistancePoint2X( )	S:getdistancepoint2x()	S:distance x2	2D	2	1	1							
417	Command	Sprites		GetSpriteDistancePoint2Y( )	S:getdistancepoint2y()	S:distance y2	2D	2	1	1							
418	Command	Sprites		GetSpriteFrameCount( iSpriteIndex )			2D	2	1								
419	Command	Sprites		GetSpriteGroup( iSpriteIndex )			2D	2	1								
420	Command	Sprites					2D	2	1								
421	Command	Sprites		GetSpriteHitCategory( categories, x, y )			2D	2	1								
422	Command	Sprites		GetSpriteHitGroup( group, x, y )			2D	2	1								
423	Command	Sprites		GetSpriteImageID( iSpriteIndex )			2D	2	1								
424	Command	Sprites		SetSpritePhysicsAngularDamping( iSpriteIndex, damp )			2D	2	0								
425	Command	Sprites		SetSpritePhysicsAngularImpulse( iSpriteIndex, impulse )			2D	2	0								
426	Command	Sprites		SetSpritePhysicsAngularVelocity( iSpriteIndex, va )			2D	2	0								
427	Command	Sprites		SetSpritePhysicsCanRotate( iSpriteIndex, rotate )			2D	2	0								
428	Command	Sprites		SetSpritePhysicsCOM( iSpriteIndex, x, y )			2D	2	0								
429	Command	Sprites		SetSpritePhysicsDamping( iSpriteIndex, damp )			2D	2	0								
430	Command	Sprites		SetSpritePhysicsDelete( iSpriteIndex )			2D	2	0								
431	Command	Sprites		SetSpritePhysicsDensity( iSpriteIndex, density, shapeID )			2D	2	0								
432	Command	Sprites		SetSpritePhysicsForce( iSpriteIndex, x, y, vx, vy )			2D	2	0								
433	Command	Sprites		SetSpritePhysicsFriction( iSpriteIndex, friction )			2D	2	0								
434	Command	Sprites		SetSpritePhysicsImpulse( iSpriteIndex, x, y, vx, vy )			2D	2	0								
435	Command	Sprites		SetSpritePhysicsIsBullet( iSpriteIndex, bullet )			2D	2	0								
436	Command	Sprites		SetSpritePhysicsIsSensor( iSpriteIndex, sensor )			2D	2	0								
437	Command	Sprites		SetSpritePhysicsMass( iSpriteIndex, mass )			2D	2	0								
438	Command	Sprites		SetSpritePhysicsOff( iSpriteIndex )			2D	2	0								
439	Command	Sprites		SetSpritePhysicsOn( iSpriteIndex, mode )			2D	2	0								
440	Command	Sprites		SetSpritePhysicsRestitution( iSpriteIndex, restitution )			2D	2	0								
441	Command	Sprites		SetSpritePhysicsTorque( iSpriteIndex, torque )			2D	2	0								
442	Command	Sprites		SetSpritePhysicsVelocity( iSpriteIndex, vx, vy )			2D	2	0								
443	Command	Sprites		SetSpriteScaleByOffset( iSpriteIndex, x, y )			2D	2	0								
444	Command	Sprites		SetSpriteShader( spriteID, shaderID )			2D	2	0								
445	Command	Sprites		SetSpriteShapeChain( iSpriteIndex, numPoints, index, loop, x, y, shapeID )			2D	2	0								
446	Command	Sprites		SetSpriteX( iSpriteIndex, fX )			2D	2	0								
447	Command	Sprites		SetSpriteY( iSpriteIndex, fY )			2D	2	0								
448	Command	Sprites		StopSprite( iSpriteIndex )			2D	2	0								
449	Command	Sprites		SetSpriteSize( iSpriteIndex, width, height )			2D	2	0								
450	Command	Sprites		SetSpriteSnap( iSpriteIndex, snap )			2D	2	0								
451	Command	Sprites		SetSpriteSpeed( iSpriteIndex, fFps )			2D	2	0								
452	Command	Sprites		SetSpriteTransparency( iSpriteIndex, mode )			2D	2	0								
453	Command	Sprites		SetSpriteUV( iSpriteIndex, u1, v1, u2, v2, u3, v3, u4, v4 )			2D	2	0								
454	Command	Sprites		SetSpriteUVBorder( iSpriteIndex, border )			2D	2	0								
455	Command	Sprites		SetSpriteUVOffset( iSpriteIndex, u, v )			2D	2	0								
456	Command	Sprites		SetSpriteUVScale( iSpriteIndex, scaleU, scaleV )			2D	2	0								
457	Command	Sprites		SetSpriteVisible( iSpriteIndex, bVisible )			2D	2	0								
458	Command	Sprites		SetSpriteX( iSpriteIndex, fX )			2D	2	0								
459	Command	Sprites		SetSpriteY( iSpriteIndex, fY )			2D	2	0								
460	Command	Sprites		StopSprite( iSpriteIndex )			2D	2	0								
461	Command	Images		CopyImage( newImage, fromImage, x, y, width, height )			2D	2	1	1							
462	Command	Images		CreateImageColor( imageID, red, green, blue, alpha )			2D	2	1	1							
463	Command	Images		CreateRenderImage( width, height, format, mipmap )			2D	2	1	1							
464	Command	Images		DecodeQRCode( image )			2D	2	0								
465	Command	Images		DeleteAllImages()			2D	2	0								
466	Command	Images		DeleteImage( iImageIndex )			2D	2	0								
467	Command	Images		EncodeQRCode( text, errormode )			2D	2	0								
468	Command	Images		GetCapturedImage()			2D	2	1								
469	Command	Images		GetChosenImage()			2D	2	1								
470	Command	Images		GetDeviceCameraType( cameraID )			2D	2	1								
471	Command	Images		GetImage( imageID, x, y, width, height )			2D	2	1								
472	Command	Images		GetImageExists( iImageIndex )			2D	2	1								
473	Command	Images		GetImageFilename( imageID )			2D	2	1								
474	Command	Images		GetImageHeight( iImageIndex )			2D	2	1								
475	Command	Images		GetImageSizeFromFile( filename )			2D	2	1								
476	Command	Images		GetImageWidth( iImageIndex )			2D	2	1								
477	Command	Images		GetNumDeviceCameras()			2D	2	1								
478	Command	Images		IsCapturingImage()			2D	2	2	2							
479	Command	Images		IsChoosingImage()			2D	2	2	2							
480	Command	Images	General	LoadImage( sImageFilename, bBlackToAlpha )			2D	2	1	1							
481	Command	Images		LoadImageResized( iImageID, szFilename, scaleX, scaleY, cache )			2D	2	1	1							
482	Command	Images		LoadSubImage( iImageIndex, iParentIndex, sImageFilename )			2D	2	1	1							
483	Command	Images		PrintImage( image, size )			2D	2	0								
484	Command	Images		ResizeImage( imageID, width, height )			2D	2	0								
485	Command	Images		SaveImage( iImageIndex, filename )			2D	2	1	1							
486	Command	Images		SetDeviceCameraToImage( cameraID, imageID )			2D	2	0								
487	Command	Images		SetImageMagFilter( iImageIndex, mode )			2D	2	0								
488	Command	Images		SetImageMask( iDstImage, iSrcImage, dst, src, x, y )			2D	2	0								
489	Command	Images		SetImageMinFilter( iImageIndex, mode )			2D	2	0								
490	Command	Images		SetImageTransparentColor( iImage, r, g, b )			2D	2	0								
491	Command	Images		SetImageWrapU( iImageIndex, mode )			2D	2	0								
492	Command	Images		SetImageWrapV( iImageIndex, mode )			2D	2	0								
493	Command	Images		ShowChooseImageScreen()			2D	2	1	1							
494	Command	Images		ShowImageCaptureScreen()			2D	2	1	1							
495	Command	2D Physics	Joint	CreateDistanceJoint( iJointIndex, iSpriteIndex1, iSpriteIndex2, x, y, x2, y2, colConnected )			2D	2	1	1							
496	Command	2D Physics	Joint	CreateGearJoint( iJoint1, iJoint2, ratio )			2D	2	1	1							
497	Command	2D Physics	Joint	CreateLineJoint( iSpriteIndex1, iSpriteIndex2, x, y, vx, vy, colConnected )			2D	2	1	1							
498	Command	2D Physics	Joint	CreateMouseJoint( iJointIndex, iSpriteIndex, x, y, maxForce )			2D	2	1	1							
499	Command	2D Physics	Forces	CreatePhysicsForce( x, y, power, limit, range, fade )			2D	2	1	1							
500	Command	2D Physics	Joint	CreatePrismaticJoint( iSpriteIndex1, iSpriteIndex2, x, y, vx, vy, colConnected )			2D	2	1	1							
501	Command	2D Physics	Joint	CreatePulleyJoint( iJointIndex, iSpriteIndex1, iSpriteIndex2, gnd1x, gnd1y, gnd2x, gnd2y, a1x, a1y, a2x, a2y, ratio, colConnected )			2D	2	1	1							
502	Command	2D Physics	Joint	CreatePulleyJoint2( iSpriteIndex1, iSpriteIndex2, ratio, colConnected )			2D	2	1	1							
503	Command	2D Physics	Joint	CreateRevoluteJoint( iSpriteIndex1, iSpriteIndex2, x, y, colConnected )			2D	2	1	1							
504	Command	2D Physics	Joint	CreateRopeJoint( iSpriteIndex1, iSpriteIndex2, x, y, x2, y2, maxLength, colConnected )			2D	2	1	1							
505	Command	2D Physics	Joint	CreateWeldJoint( iJointIndex, iSpriteIndex1, iSpriteIndex2, x, y, colConnected )			2D	2	1	1							
506	Command	2D Physics	Joint	DeleteJoint( iJointIndex )			2D	2	0								
507	Command	2D Physics	Forces	DeletePhysicsForce( iForceIndex )			2D	2	0								
508	Command	2D Physics	Joint	FinishPulleyJoint( gnd1x, gnd1y, gnd2x, gnd2y, a1x, a1y, a2x, a2y )			2D	2	0								
509	Command	2D Physics	Contacts	GetContactSpriteID1()			2D	2	1								
510	Command	2D Physics	Contacts	GetContactSpriteID2()			2D	2	1								
511	Command	2D Physics	Contacts	GetContactWorldX()			2D	2	1								
512	Command	2D Physics	Contacts	GetContactWorldY()			2D	2	1								
513	Command	2D Physics	Contacts	GetFirstContact()			2D	2	1								
514	Command	2D Physics	Joint	GetJointExists( iJointIndex )			2D	2	1								
515	Command	2D Physics	Joint	GetJointReactionForceX( iJointIndex )			2D	2	1								
516	Command	2D Physics	Joint	GetJointReactionForceY( iJointIndex )			2D	2	1								
517	Command	2D Physics	Joint	GetJointReactionTorque( iJointIndex )			2D	2	1								
518	Command	2D Physics	Contacts	GetNextContact()			2D	2	1								
519	Command	2D Physics	Debug	GetPhysicsIslandCount()			2D	2	1								
520	Command	2D Physics	Debug	GetPhysicsSolveTime()			2D	2	1								
521	Command	2D Physics	Raycast	GetRayCastFraction()			2D	2	1								
522	Command	2D Physics	Raycast	GetRayCastNormalX()			2D	2	1								
523	Command	2D Physics	Raycast	GetRayCastNormalY()			2D	2	1								
524	Command	2D Physics	Raycast	GetRayCastSpriteID( )			2D	2	1								
525	Command	2D Physics	Raycast	GetRayCastX()			2D	2	1								
526	Command	2D Physics	Raycast	GetRayCastY()			2D	2	1								
527	Command	2D Physics	Contacts	GetSpriteContactSpriteID2( )			2D	2	1								
528	Command	2D Physics	Contacts	GetSpriteContactWorldX( )			2D	2	1								
529	Command	2D Physics	Contacts	GetSpriteContactWorldY( )			2D	2	1								
530	Command	2D Physics	Contacts	GetSpriteFirstContact( iSprite1 )			2D	2	1								
531	Command	2D Physics	Contacts	GetSpriteNextContact( )			2D	2	1								
532	Command	2D Physics	Raycast	PhysicsRayCast( x, y, x2, y2 )			2D	2	0								
533	Command	2D Physics	Raycast	PhysicsRayCastCategory( category, x, y, x2, y2 )			2D	2	0								
534	Command	2D Physics	Raycast	PhysicsRayCastGroup( group, x, y, x2, y2 )			2D	2	0								
535	Command	2D Physics	Joint	SetJointDamping( iJointIndex, dampingRatio, frequency )			2D	2	0								
536	Command	2D Physics	Joint	SetJointLimitOff( iJointIndex )			2D	2	0								
537	Command	2D Physics	Joint	SetJointLimitOn( iJointIndex, lowerLimit, upperLimit )			2D	2	0								
538	Command	2D Physics	Joint	SetJointMotorOff( iJointIndex )			2D	2	0								
539	Command	2D Physics	Joint	SetJointMotorOn( iJointIndex, speed, maxForce )			2D	2	0								
540	Command	2D Physics	Joint	SetJointMouseMaxForce( iJointIndex, maxForce )			2D	2	0								
541	Command	2D Physics	Joint	SetJointMouseTarget( iJointIndex, x, y )			2D	2	0								
542	Command	2D Physics	Debug	SetPhysicsCCD( mode )			2D	2	0								
543	Command	2D Physics	Debug	SetPhysicsDebugOff()			2D	2	0								
544	Command	2D Physics	Debug	SetPhysicsDebugOn()			2D	2	0								
545	Command	2D Physics	Forces	SetPhysicsForcePosition( iForceIndex, x, y )			2D	2	0								
546	Command	2D Physics	Forces	SetPhysicsForcePower( iForceIndex, power )			2D	2	0								
547	Command	2D Physics	Forces	SetPhysicsForceRange( iForceIndex, range )			2D	2	0								
548	Command	2D Physics	General	SetPhysicsGravity( x, y )			2D	2	0								
549	Command	2D Physics	General	SetPhysicsMaxPolygonPoints( points )			2D	2	0								
550	Command	2D Physics	General	SetPhysicsScale( scale )			2D	2	0								
551	Command	2D Physics	Debug	SetPhysicsSleeping( mode )			2D	2	0								
552	Command	2D Physics	Debug	SetPhysicsThreading( threads )			2D	2	0								
553	Command	2D Physics	General	SetPhysicsWallBottom( mode )			2D	2	0								
554	Command	2D Physics	General	SetPhysicsWallLeft( mode )			2D	2	0								
